,text
918,Best explanation 👍🏼
919,Bhai aapko 4 hours ka video banana chahiye tha.. thoda detailed me with low pace... jo non IT wale hain unko bhi achhe se samjh aaye.. over all good video and efforts.
920,"<a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=6620"">01:50:20</a>"
921,Make video on pl sql
922,Thank you so much brother this is really helpful.
923,From where database completed?
924,"SELECT, FROM, WHERE, LIMIT, ORDER BY, GROUP BY, HAVING"
925,Nice sir
926,"When inserting values in table. Then writing column names its better to use double commas. Bcz suppose if we have Column Roll No, it will give erroe"
927,"Select, from, where, limit, group by, having, limit, order by."
928,you are awesome
929,Great content. Thank you.<br>Suggesting this content to People across domains.<br> People who are preparing for government jobs should learn the free skills from YouTube and try to keep themselves busy.<br>Skills acquired in the process can help them sustain in the long run if things didn&#39;t turn in favour.
930,"Sir ne basic information ko skip kiya hai...<br>video thoda advance level ka hai...<br>Agar koi first time dekh rha hai... to usko Aisa confusion aayega ... &quot; isko kyo,kab aur kaha use karna hai &quot;. Video me kafi topic cover hai ye achchhi bat hai.. but Beginners ke liye  sahi nhi hai"
931,"Thanks for the video, please add full subtitles to your video ❤"
932,Assignment 1 :<br>Order of execution in SQL:<br>SELECT<br>FROM<br>WHERE<br>GROUP BY <br>HAVING <br>ORDER BY <br>LIMIT
933,"INSERT INTO customer<br>(CustID, CustName, Age, City, Salary)<br>VALUES<br>(1, &#39;Sam&#39;, 21, &#39;Delhi&#39;, 7000),<br>(2, &#39;Ram&#39;, 23, &#39;Varanasi&#39;, 9000),<br>(3, &#39;Vijay&#39;, 27,&#39;Jaipur&#39;, 10000),<br>(4, &#39;Sachin&#39;, 28, &#39;Goa&#39;, 20000);<br><br>This is an Error ( I am trying multiple times but the issue is the same)<br>ERROR:  column &quot;custid&quot; of relation &quot;customer&quot; does not exist<br>LINE 2: (CustID, CustName, Age, City, Salary)<br>         ^ <br><br>SQL state: 42703<br>Character: 23"
934,Thank you Rishab you are ameging
935,sir meine as a PHP developer work kiya hai 2 years ka experience hai lekin career gap bhi bahut hai<br>1 year work kiya Usk bad lockdown me 17 months ka gap aaya Usk bad 1 year kaam kiya par koi proper coding work mila nhi growth nhi hui aise mere 2 years complete hue as a php developer <br><br>Usk bad se kahi work kiya nhi abhi phir se 1 year ka gap aaya hai<br><br>Mujhe basic sql aata hai Mei agar achhese sql sikhlu to kya mujhe job milegi ?
936,Very properly explained👍
937,Love from Bodoland assam🎉
938,Aap ka contact number please send karo
939,"Your video is excellent but I&#39;m sorry I need English 😢 I&#39;m confused so I&#39;m changing the platform 😢 so, if possible can you please make it in English too😊"
940,dhono table mein primary key hai foriegn key nahiye to connect kaise hoga......? please clear
941,how to add/insert date types when inserting values.?
942,Please share the pdf of lecture . For i just want to revision so please share the pdf of the content
943,"Rishabh sir ka way of teaching bahut achchha hai, God bless you Sir. I m learning by watching your video."
944,SELECT&gt;FROM&gt; WHERE&gt;GROUP BY&gt;HAVING&gt;ORDER BY&gt;LIMIT
945,Very nice video sir
946,"<a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=1900"">31:40</a><br><a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=2330"">38:50</a><br><a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=2536"">42:16</a><br><a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=2987"">49:47</a><br><a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=4342"">1:12:22</a><br><a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=5586"">1:33:06</a><br><a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=6085"">1:41:25</a>"
947,I Face Some Issues ( ERROR:  syntax error at or near ) how im solve this problem ?
948,Assignment 1<br>SEQUENCE -1)SELECT<br>2)FROM<br>3)WHERE (It comes with Select)<br>4)GROUP BY<br>5)HAVING- (It comes with Group by and always placed after the GROUP BY clause)<br>6)OREDER BY<br>7)LIMIT
949,"<a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=3900"">1:05:00</a> answer: from -&gt; where -&gt; group by -&gt; having -&gt; select -&gt; order by -&gt; limit , I was  not 100% correct after I that i verify myself on chatGPT and I correct myself for this order execution answer"
950,What&#39;s the difference between SQL and MySQL?<br>And what should I learn?
951,excellent !!!
952,What is the difference between Full Join and Union All as both shows all data of multiple tables ?
953,"Very Useful Video Bhai, Thanks"
954,what is software name sir
955,Awesome video. Thanks sir. Do u give classes ?
956,Hey mere pdAdmin main table create nahi ho raha koi help kr de please
957,In the same order as you have given the assignment:<br>SELECT column name(s) from Table name<br>where condition (if any)<br>group by column name(s)<br>Having condition(s)<br>order by asc/desc<br>Limit 2;
958,Could you share your emai Id.<br>Thank you.
959,tq i learned sql here &amp; it helped me more for interview ready
960,thank u so much for making this video.....this video was really helpfull and cleared all my doubts thanks u again.....
961,"Im having an issue with the values, they do not show up...I have tried multiple times please can someone help"
962,Sir baaki sab toh theek h per ek hi video me kitni ads lagaoge
963,This course is much better than paid courses.
964,"Ever since I joined your journey at the humble mark of 700 subscribers, witnessing your growth has filled my heart with boundless joy. 🥳🥳The knowledge I have gained through your captivating videos has enriched my life beyond measure, leaving an indelible mark of gratitude and appreciation.👍"
965,Hello @Rishabh. 2 questions ? Is there a way to modify data type (eg. changing the size limit) after defining it ? Basic difference between &quot;char&quot; and &quot;varchar&quot; ?
966,thankyou sir
967,Hello sir. <br>Will the topics which you taught in this video be sufficient to grab a data analytics intership ?
968,your teaching style is just awesome. please upload some advance stuffs. love from hong kong🙌🙌
969,sir please upload some advance stuffs🙌🙌
970,"Love from Pakistan, please add more videos of Power BI and Paython"
971,"we cannot update the values of primary key ? Is that so, <br>Rishabh?"
972,select<br>from<br>where <br>group by<br>having<br>order by<br>limit
973,Video is highly useful but the picture quality is aweful
974,sir doubt?<br>in cte- when we are writing multiple cte querry we just have to write only the cte expression not starting from with clause.
975,Select<br>From <br>Where<br>Group by <br>Having <br>Order by <br>Limit
976,Sir plzz MS SQL Pe video banaiye  plzzz....ye bahut different hai...MS SQL se
977,"Hi Rishabh, you have made it easy for beginners like me to understand. Especially your live video made it interesting to learn. Thank you a ton."
978,"Greate video, Honestly Just pure content 💯No faltu ki baate<br>Thank you Rishabh bhai🔥👌 Thank you for providing Notes.<br><br><br>Request : Please bring One Single video on SQL question For interviews."
979,Where is PDF
980,Select From <br>Where<br>groupby <br>Having Limt
981,"Finally I completed this ,Yayyyyy <br>Create table Rishabh Mishra(<br>Gratitude char(30)<br>);<br><br><br>INSERT INTO Rishabh Mishar <br>(Gratitude)<br>VALUES<br>&#39;THANK YOU SO MUCH FOR THIS VIDEO&#39; ;"
982,Thank you sooo much .I have a non IT background and found ur video very much helpful
983,Thanks sir your video is understandable for me
984,"<a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=3919"">01:05:19</a><br>The order of execution is same as asked in the question, i.e. Select &gt; From &gt; Where &gt; Group By &gt; Having &gt; Order By &gt; Limit<br><br>Let me know if am wrong or right, and dear Rishabh, if you are reading this comment, then my man, i just love and admire your work and the way of teaching that too for seriously no cost, that&#39;s no way expected in this era where everyone just wanna make their way out<br><br>If i get a job due to your teachings which i think i surely will, then mh dude am  surely gonna donate you no matter what, your definitely a blessing for people like me, lots and lots of love for your teachings dude❣❣❣"
985,thanks a lot sir i was very worried about SQL .Keep it up
986,@rushabh bhaiya - when I am adding column name into &quot;insert into&quot; command then its giving error. While not then it gates success.
987,Amazing session... Thanks a lot 👍... helps me to learn a lot Keep up the good work 👍👍👍... Best of luck 🤞🍀
988,please make a Video on SAS DI
989,thank you sir
990,Thankyou
991,"hi Rishabh please also give example of <br><br>ALTER TABLE akash<br>ALTER COLUMN column_name datatype ;"
992,Fresher salary
993,I am not able to import file from Excel to SQL please suggest me what should I do I&#39;m stuck here
994,thankyou sir
995,"Paaji tussi great ho , taufa kabool kro"
996,ORDER of execution in SQL Are<br>1- from<br>2- where <br>3- group by<br>4- having<br>5- select<br>6- order by<br>7- limit
997,Bhai coding seekhu ki ye job preference ke liye i am from commerce brackground....please clear krdo
998,thnq bhai
999,"hi i am facing error while inserting data thru insert into<br><br>error is:-<br>ERROR:  column &quot;custid&quot; of relation &quot;customer&quot; does not exist<br>LINE 2: (CustID, CustName, Age, City, Salary)<br>         ^ <br><br>SQL state: 42703<br>Character: 24"
1000,Thank you for providing the quality content that though free of cost 🙏♥️
1001,order of execution in sql : -- &gt;   select-&gt;from-&gt;where-&gt;group-&gt;by-&gt;having-&gt;order-&gt;by-&gt;limit.
1002,"Hi Rishabh, thoughtfully explained. please tell if i&#39;m working on online platform(APEX ORACLE) in that case how can i create the database?"
1003,please make a video on alter table facing some issues over there.
1004,Sir can you suggest some certification course for SQL?
1005,Sir mai jab bhi table mai value insert kar raha hu to jo pehla value hai jaise ki Customer name woh run karne k time <br>column &quot;Customer name&quot; of relation &quot;table name&quot; does not exist <br>Aesa bata raha hai what to do sir
1006,"Quick assignment:01<br>Order of execution in SQL:<br>From,where, group by, having, select,order by,limit"
1007,Really wonderful course Rishabh. Makes us understand in such a easy way.
1008,very nice
1009,"Select, from, where,  limit, group by, having, order by"
1010,"Sir I am getting th e error of column  of relation does not exist, even the syntax are correct"
1011,what a explanation i love it😍😍😍😍
1012,Thnk u bro ❤
1013,Rishabh bhai mujhe ye confusion hai k ap SQL k liye kaun sa application use Krna hai like pg admin ye kaise install Krna hai wo to ap bataye hi nhi plzz bro
1014,i am from technical field but very huge gap in my career exp. in marketing and sales but no experience in corporate company. iwant to career start in IT field
1015,"Hey Rishabh, firstly thanks for the video. Really like it. <br><br>My question is that if we deleted something by mistake. Is there a command to retrieve the data. Like how we use CTRL + Z in excel."
1016,Excellent tutorial brother!
1017,"Gud evening sir,i ask some things, actually Am work in auto mobile sector, but I changed to IT sector, data analytics course, Am not in IT sector, i simply learning from your u tube channel,i catch all things,sir kindly advise me."
1018,"Hi Rishabh,<br>Thankyou for the informative video.<br>Just wanted to check by learning all the concepts given in the video, are these enough for the SQL gold hackerrank ? Or need to go through other videos?"
1019,U r the best..respect
1020,"sir SQL is not that difficult<br>but what about the projects to perform ,no hint??"
1021,Sir mujhe Data scientist ke bare sheekhna kaise sheekh skta aur excell ke bare me please helpe 🙏🙏
1022,"Sir, nice course"
1023,Execution order:-<br>1)SELECT<br>2)FROM <br>3)WHERE<br>4)GROUP BY<br>5)HAVING<br>6)ORDER<br>7)LIMIT
1024,"bhaiya jeeven me kuch nhi hora hai bohot pareshaan hu mai, bohot time baad lag ra hai ki kuch kar skta hu thank you once again. and thoda sa gide kriye comment me ake please. apka chota bhai hu"
1025,select - from - limit- where -group by - having -order by
1026,1st:-  select <br>          from<br>          where<br>2nd:- group by<br>          having<br>3rd:- order by<br>4th:- limit<br>🤗🤗🤗🤗
1027,Hi Rishabh I am new to SQL and started your course recently <br>I work mostly on Excel for script preparation etc<br>Do we have the option to create scripts here in such a way that I also create a table of input data that  is needed for my script to be generated?<br>Then the prepared data can be copied and executed on my respective terminal?
1028,Thank you bhaiya :) dil se
1029,Colum ka size aur position Kaise change Karen?🤔
1030,"sir ,microsoft sql p use krna thoda dificult pdra h"
1031,"Select <br>From<br>Where <br>Group by<br>Having <br>Order,/limit by"
1032,"awesome CTE explanation in whole SQL tutorial avaliable in Youtube <br>Love ur Teaching Sir ,Awesome SirJi"
1033,"Hello rishabh, can you please make one more video on sub queries in much simpler way to understand using inner joins. That will be great helpful for me to understand in much better way. <br>Thank you in advance"
1034,"Day 2 of this course. <a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=65"">1:05</a> goes on.<br>Day 4 ... Goes onnn"
1035,Rishab iam unable to find the Insert option path
1036,ek do videos guesstimates pe bhi bana do na please.
1037,"select, from,where, groupby haivng order by, limit"
1038,Very nice video
1039,completed 🎉. Now practice start
1040,sir please make a video on altreyx
1041,"hello bhai, i am having a problem during insert into its runny its showing an error i checked it more than 20 times but still its not running successfully kindly help me , i watched ur ms excel and done the vrinda store project , i am continuing to learn ,i dont know whats the problem :("
1042,This video was so helpful ❤❤
1043,"select,from, where,group by,having, limit,order by"
1044,Definitely a worth watching for beginners!!!! Great content.
1045,Thanku so much sir 😊
1046,"Hey hi Rishab, I have one question it might be a silly question but want to ask. we have left join and right join, In left join we will get all data from the left table and matching records from the right table but left join can work as right join if we consider the second table as the left table so from the second table we will get all records and only matching records from first table. so why do we use right join separately? can you explain to me..."
1047,sir ek baar ALTER TABLE vala pura example bta dete sir plz sir
1048,"Hi Rishab, In inserting data in customer table, ID and Name both showing in purple color considering as function, what can i do to make it as normal text"
1049,Please add how to install SQL server management studio videos
1050,Best ever !🙌
1051,"thank you sir, its very very easy"
1052,"<a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=1910"">31:50</a>"
1053,I absolutely love how you have the course setup like a PowerPoint. Do you have an English version so that I can understand when you explain a bit on each slide? Thanks 😊
1054,"Bro, i appreciate the efforts but, placing one add evry 5 minutes is really bad. Please refrain from adding too many ads."
1055,How I get this video&#39;s ppt pdf folder
1056,Select is DQL command
1057,🤑🤑🤑🤑🤑🤑🤑🤑
1058,Bhai SQL practice karne ke liye free practice kahan kar sakte hai. Thank u bhai for this video.
1059,Is it enough to crack to any interview? Tho comments seems nice here so i prefer to  study from here?
1060,"Bro ek series kyu nhi bana dete leetcode ke easy-medium-hard sql questions ke , Youtube pr nhi hai and logo ko jarurat hai"
1061,Thank you for your service. Few questions : <br>1. how to install sql in windows / linux os ?<br>2. how to download / insall pgadmin windows and connect to DB ?
1062,"<a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=3906"">1:05:06</a>  FROM, WHERE,GROUP BY, HAVING, SELECT, ORDER BY, LIMIT"
1063,👍
1064,Please give me PDF
1065,Can you tell which sql is best for data analytics pls
1066,"Sir plz create a video on cte , it is difficult to understood"
1067,"Web development or data analytics or both  , which is good <br>in today&#39;s scenario , please reply sir"
1068,1.  Select<br>2. From<br>3 where<br>4 group by<br>5 having<br>6. Order<br>7. Limit
1069,Well explained
1070,learnt whole sql concept in just 2.5 hr .Thank you for this amazing tutorial.Please make a video on Python also.
1071,Good easy and informed description.
1072,"<a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=1531"">25:31</a> <br>After create table<br>sir i am getting<br>ERROR: relation  does not exist showing"
1073,Is this enough for entry level in data analysis?
1074,"Hi Rishabh, Thank you so much for the video. I had scrolled a lot of videos but your video tuned up in a perfect manner with me because of your teaching and explaining style. thanks a lot for this. even by paying on Udemy or anywhere, can get this quality content."
1075,"Awersome  &quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot; Getting bored- &quot;Khud se pucho ki shuru kyu kiya tha, career mei kuch bada karna hai&quot; ?  &quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;"
1076,thanks bhaiya
1077,This course is really very good .i m new to this field want to enhance the skill but struggling how to learn then after i find your you tube channel the way of teaching is superb and i easily lern the concept from your vedio rishabh keep it up!
1078,My age now 37<br>Am in pharmaceutical industry<br>Can I change my domain into data scientist
1079,pg Amin kaise open karenge????
1080,What syntax is for changing column name
1081,Aap sure se bataya jo mujhe best laga sir
1082,Respect from Pakistan
1083,Sir pls tell that how can we download MySQL in laptop without root password pls pls tell sir 🥺🙏
1084,"Hi sir, your teaching and explanation on each n every concept such too good and easy to learn for beginners 👍"
1085,❣️ thank you
1086,"Creation Timestamp(IST)<br>07-01-2021 <a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=19"">00:19</a>  <br> what to use in this datatype"
1087,Select sabkuch(*) is awesome . Bhot easy sa bna dia sbkuch. Thnku brother
1088,👍
1089,Bhai pehlay downloading kaisay kerni hai wo bhi batadi
1090,sub query is hard fr me
1091,"Ans - <br>select <br>order by<br>from <br>where<br>group by<br>having<br>limit"
1092,Bhai apki wall clock purani hai mere ghar pe bhi the jab mein chota tha
1093,"hello, thanks a lot for uploading vdo... but i am stuck at timestamp <a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=2330"">38:50</a>.  i am getting error as Error: near &quot;copy&quot;: syntax error while copying csv file to sql, please help... thankyou."
1094,thank you . just wanted to ask one simple question . where can i practice the basic querries so that i start dveloping interest . i tried google searching but they are heading me to online portals.
1095,Crad 😂 sql bhadak jyga so funny 😂
1096,Rishabh Bhai kya aap ek video bna skte ho SQL PROJECT wo b finance domain ke upr SQL ka project ho Please Ispe bna do ek video ... baki bhai aapki har ek video boht helpful hoti or easy to understand hoti maine 2no project power bi ke b bna liye ...... bss ek sql ka project finance ke upr bna do please
1097,Sir please provide pdf
1098,"<a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=3280"">54:40</a>"
1099,thanks bhaiya
1100,Course complete
1101,Hello sir please provide link SQL notes
1102,The last part of this video is toooo much ambigous
1103,"you say 2 type of function in sql but after 2 functions you say string () ,agrigate () etc <br>please tell me these functions which sub function system define ()<br>ya user define function"
1104,please make a video on window funtion with lots of example and also automating the query using variables on urgent basis that will be a great help from your side.
1105,"if am seeing your this video, is everything covered  this video or somethings are missing when compared to udemy course or is there any need to do the udemy course if i do not need the certification of sql ?"
1106,SELECT<br>FROM<br>WHERE<br>GROUP BY<br>HAVING CLAUSE<br>ORDER BY <br>LIMIT
1107,Rishabh bhai aap ke online classes hai
1108,I can&#39;t see the server or database in my PG admin after I installed it. Only one server is visible and nothing opening in the dropdown.
1109,"We did this before your answer.<br><br>SELECT new_id,<br>LEAD(new_id,2) OVER(ORDER BY new_id) AS &quot;LEAD&quot;,<br>LAG(new_id,2) OVER(ORDER BY new_id) AS &quot; LAG&quot;<br>FROM microsoft;<br><br><br>But if you want to remove the actions of LEAD and LAG function on the give data<br>Then put Zero / 0.<br><br>SELECT new_id,<br>LEAD(new_id,2) OVER(ORDER BY new_id) AS &quot;LEAD&quot;,<br>LAG(new_id,2) OVER(ORDER BY new_id) AS &quot; LAG&quot;<br>FROM microsoft;"
1110,If missed to add length for a name then can we edit in the same query or have delete and write again??
1111,"SELECT, FROM, WHERE, LIMIT, GROUP BY, HAVING, ORDER BY"
1112,Hello guys don’t you think if you are learning from Rishab as a thank you you should like and follow him…. <br><br>Thanks Rishab your videos are great help for me😊
1113,same given in photo
1114,Best video on SQL very easy to understand...
1115,Thank you for such a knowledgeable video.
1116,"it was a lot insightful video, it refreshes all the major queries of SQL and it is very helpful if you want refresh your knowledge. well prepared Rishabh Ji"
1117,Thanq very much bro..great session...hope more videos will come ...carry on...👍👍🙏
1118,Helpfull
1119,"@<a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=9152"">2:32:32</a> Hi, first of all thnx for this wonderful SQL course. I&#39;ve a doubt in CTE example-Advance section...<br>Doubt: &quot;my.highest_price, my.total_price&quot;  or baad mein jo &quot;join my_cte my&quot;      isme ye my kaha se aaya... my koi table ka naam h ????"
1120,"Thank you so much for this course sir. This is a blessing for all the beginners out there. I am absolutely sure that after completion of this course, everyone will have decent knowledge of SQL."
1121,Sir do you have any classes where i can learn? <br><br>Your video is awsome and very helpfull. <br><br>Thank you<br><br>Keepup.
1122,Super 💯💯
1123,mai postgre Sql install karte karte pareshaan ho gaya koi n koi server se related problem aa raha hai koi solve kar do bhai
1124,Your teaching ability is on a next level❤
1125,"SELECT, <br>FROM, <br>WHERE,<br> GROUP BY, <br>HAVING,<br> ORDER BY, <br>LIMIT"
1126,I think sir RANK() AND PERCENT_RANK() are similar in ranking window function not the DENSE_RANK() AND PERCENT_RANK();
1127,Extremely grateful to you Rishabh. You made things easier. I took my own time and finally completed this course.
1128,Very nice course❤
1129,Nice session
1130,Iam facing problem while downloading CSV files you provided.
1131,How to get result in text column as underlined and coloured font for any DML update query? For example <br><br>Please submit your delivery Papers before Jan 1 - Jan 1 should underlined with yellow fonts.
1132,which software should i use for this...???
1133,many function not usable in SQL server
1134,"Hi Rishab, thanks for this tutorial. But I am facing an issue that the version that I have of MySQL is only for creating table options. Whenever I write a query, it shows an error. Which version do I need to download?"
1135,How to install &amp; open sql app please tell me
1136,"<a href=""https://www.youtube.com/@mathematicsbydr.sanjaysing1271"">https://www.youtube.com/@mathematicsbydr.sanjaysing1271</a>"
1137,There are lots of errors consequently queries do not work correctly.
1138,"This Tutorial is Just Awesome , so informational, How and from where I can get the tutorial pdf"
1139,edit kaise kar sakte hai
1140,"One thing i noticed that while using ALTER TABLE command to add column, we must add data type otherwise error will occur;<br>ALTER TABLE customer<br>ADD COLUMN address varchar(100);"
1141,Sir postgre SQL And Mysql same query rahti hai kya... Is video ki practice mai Mysql mai kr sakta hun kya..???
1142,"select employee_id, concat (first_name,&#39;  &#39;,last_name) , round( sum(salary) , 1)<br> as total<br> from employees<br> group by employee_id,first_name, last_name<br> having employee_id =135 and employee_id =136<br> order by total asc<br> limit 5"
1143,This video is better than purchasing any high price course👍👍👍👍
1144,SELECT&gt;FROM &gt;LIMIT&gt; WHERE&gt;GROUP BY&gt;HAVING &gt;ORDER BY
1145,"From, where, groupby, having, select, orderby, limit"
1146,"bro  can u plz tell the ans of the question select ,from  etc my ans is <br>SELECT ,FROM,WHERE,ORDER BY,GROUP BY,HAVING &lt;LIMIT ? is this correct plz tell"
1147,Productive content
1148,"<a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=3908"">1:05:08</a><br>SELECT Col_name FROM table_name<br>WHERE condtion<br>GROUP BY Col_name<br>HAVING condition<br>ORDER BY col_name ASC/DESC<br>LIMIT number_of_records"
1149,"1) SELECT <br>2) FROM<br>3) WHERE<br>4)  GROUP BY<br>5) HAVING<br>7) ORDER BY <br>8) LIMIT"
1150,"<a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=2031"">33:51</a> that was funny 😅, thank you for this tutorial bhaiyya I am learning through your channel. Mujhe bhi data anlayst bann na hei"
1151,"Hi Rishabh,<br><br>I am from Non IT Background. so I want to switch my career in to IT Field. that&#39;s why I enroll a data scientist through a Ed-tech company.<br>where they are now teaching me SQL. but I couldn&#39;t understand any concept of SQL. so searching on YouTube how can I Learn in Easy way SQL. so  I got your video on video initially watch your SQL playlist first  two Video. it will help me a lot so I decide i will watch whole playlist of SQL.<br>Now today after 3 day I complete your full course of SQL with practice. it really help me lot now i understand all the concept of SQL simplistic<br>and Easy way from beginners level. <br>so want to thank you for making kind of helping Video to basic to Advanced ."
1152,&quot;You have completed our search.&quot; brother. You are the only one who&#39;s style of teaching is overwheliming dear brother. Thank you so much wholeheartedly for providing such an amazing content and outstanding style of teahing.❤❤
1153,"in the time <a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=7613"">2:06:53</a> , you are explaining about rank and dense rank , but how does it work if row numbers are not in ascending order?"
1154,but how to download it
1155,1) SELECT <br>2) FROM<br>3) WHERE - AND<br>4)  GROUP BY<br>5) HAVING CLAUSE - AND<br>7) ORDER BY <br>8) LIMIT
1156,Its very helpfull for beginner
1157,Assignment 1 : SELECT-&gt;FROM-&gt;WHERE-&gt;LIST-&gt;GROUP BY-&gt;HAVING-&gt;ORDER
1158,Ads kam kro yrr
1159,Hi sir i hope you doing well. Sir i am also trying to practice it but 1point unable to do that. That is insert section i type all commands that you did but iys getting error
1160,For SQL do we need to watch any other vedio beside this?Please reply and Thanks Rishabh god bless you
1161,"select new_id, new_cat,<br>sum(new_id) over(PARTITION by new_cat order by new_id) as &#39;TOTAL&#39;,<br>avg(new_id) over(PARTITION by new_cat order by new_id) as &#39;AVERAGE&#39;,<br>count(new_id) over(PARTITION by new_cat order by new_id) as &#39;COUNT&#39;,<br>MIN(new_id) over(PARTITION by new_cat order by new_id) as &#39;Min&#39;,<br>MAX(new_id) over(PARTITION by new_cat order by new_id) as &#39;Max&#39;<br>from test_data;<br><br>hey Rishabh i am  not getting the results of the value in table after excuting this querry <br>i created the same table, exact values<br>and still themaximum of agni shoukd show 300 but its showing 100 to me<br>plss help"
1162,Very nice video . thank you
1163,"Jo Jo Table Ham bana rahe hai, SQL Wo data kaha se pull karke  hame  dega"
1164,"Hey Rishabh I am unable to INSERT. Getting notified that <br> ERROR: column &quot;id&quot; of relation &quot;customer&quot; does not exist<br>LINE 2: <br>( id, NAME, Age, City, Salary)<br><br>SQL state: 42703<br>Character: 24. <br><br>Eventhough I have considered the case sensitivity and typed correctly I am getting this. What might be the issue?"
1165,But what about certificate how can I get that please suggest
1166,"Hi Rishabh Bhai, I have problem with downloading pgadmin software because they are asking for java 1.8, So i don&#39;t get it. Is there any alternate way to do this project? like in any other software?"
1167,you didnt guide how to download postgresql
1168,"very well explained sir, thank you so much!! 😊"
1169,"Hi, I really liked your video and learnt a lot. Can you also make a separate video of each chapter/lesson so that it will be much more easier to learn and revise all the topics.<br>Thanks again.!!!"
1170,Need some videos in SQL to work with excel files
1171,Is it possible to share data which you used here…?<br>&quot;
1172,"hey, its a request to reduce your face overlay to optimum size so that people can read the content , i find it difficult too while reading fullscreen, thanks !"
1173,Select from where order by limit group by having
1174,Sir i have some questions where can i ask u
1175,"ERROR:  column &quot;‘sam’&quot; does not exist<br>LINE 3: (1, ‘Sam’, ‘Akash’, ‘B’),<br>            ^ <br><br>SQL state: 42703<br>Character: 70<br><br>error after trying 20 times.  could not find the error , Please relpy"
1176,"Sir, explain to aacha he <br>but apka jo round me video chal raha he matlab ap apne ap ko screen me thoda chota kar do ya fir ek jagah fix kar do <br>bohat disturbing hota he... <br>apka face nhi dikha to bhi chlega <br>importance is only explanation . thats very good .."
1177,"Hello bhai, can you make a video on cloud development and its roadmap"
1178,"Hello sir,<br>While trying to insert value into table i am receiving error showing that -  column &quot;custid&quot; of relation &quot;customer&quot; does not exist<br>Please help me out"
1179,brother excellent keep learning us
1180,"SELECT Best_Course FROM  Online_Platform,<br>WHERE Course_length = &quot;Concise&quot; AND Language = &quot;Hindi&quot; AND Rating = &quot;Best&quot;;<br><br>Output :: Rishabh Mishra ! :)"
1181,"<a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=3904"">1:05:04</a> <br>Answer: <br>select<br>From<br>Where<br>Group by<br>Having <br>Order by<br>Limit"
1182,Not able to find address table..pls help someone with timestamp
1183,From select where limit grpby having ordby
1184,SELECT FROM WHERE GROUP BY HAVING ORDER BY LIMIT <br><br>please let me know the answer? 😊
1185,Best SQL course on youtube🙌🏻<br>Thank you for your efforts-really very helpful✨
1186,"Rishabh Sir can you explain what is the AS define ? please!!! I feel a little bit confused about it. Please answer in 1 or 2 line,<br>Best Regards <br>From Bangladesh"
1187,Good explanation sir....... Thnx
1188,"<a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=1305"">21:45</a> 🤓"
1189,"to change the datatype of column:-<br>ALTER TABLE table_name<br>ALTER COLUMN column_name TYPE new_datatype;"
1190,"i want to ask , why address and salary is taken null in table cust? neither salary nor address can be null, pls understand"
1191,Thank!
1192,mongo db ka tutorial bnao.
1193,Good one
1194,Hi Rishabh thankyou so much for posting one of the most fulfilling and knowledgeable video ...kindly help me with ER  diagram concept. its a problem for me trying to solve SQL problems from scratch in interviews.
1195,HEY Rishabh .. i wish to seek your help in the installation of SQL Server postgre .. as I am absolutely new to this dimension. Hopefully you would understand.
1196,Is this course beneficial for Data Analyst?
1197,Really amazing video 👏
1198,anyone can get job after completing this course??
